stationid,highwayid,milepost,locationtext,length,numberlanes,agencyid,x_coord,y_coord,active_dates
3202,8,16.9,Marine Dr (2DS028) @ WB I-84 MP16.9,0.98,,310,-122.40131,45.54446,"{""bounds"": ""[)"", ""lower"": ""2015-02-23"", ""upper"": null}"
3194,2,298.9,Corbett (2DS056) @ SB I-5 MP298.9,0.825,,40,-122.67668,45.48839,"{""bounds"": ""[)"", ""lower"": ""2014-09-19"", ""upper"": null}"
1050,4,24.66,EB Airport Way (2R027) to SB I-205,0.68,,468,-122.55187,45.57036,"{""bounds"": ""[)"", ""lower"": ""2014-12-03"", ""upper"": null}"
1072,10,6.77,72nd (2R347) to SB OR 217,0.72,,21,-122.75031,45.42486,"{""bounds"": ""[)"", ""lower"": ""2016-03-04"", ""upper"": null}"
3138,8,6.7,102nd (2DS020) @ WB I-84 MP6.7,2.11,,302,-122.55889,45.54448,"{""bounds"": ""[)"", ""lower"": ""2015-02-23"", ""upper"": null}"
1138,11,58.8,Jackson School Rd (2R398) to EB US 26,1.625,,189,-122.96712,45.57848,"{""bounds"": ""[)"", ""lower"": ""2015-06-19"", ""upper"": null}"
10412,502,81.32,Mellen Couplet,0.455,,005es08132:_MS,-122.974021,46.706684,"{""bounds"": ""[)"", ""lower"": ""2017-04-08"", ""upper"": null}"
1990,502,76.54,13th Chehalis,3.005,,005es07654:_MS,-122.958938,46.645828,"{""bounds"": ""[)"", ""lower"": ""2017-04-08"", ""upper"": null}"
10414,502,80.76,MELLEN CPLT OFF ,2.39,,005es08076:_MS,-122.971456,46.699147,"{""bounds"": ""[)"", ""lower"": ""2017-04-08"", ""upper"": null}"
1989,501,76.54,13th Chehalis,3.005,,005es07654:_MN,-122.958851,46.645911,"{""bounds"": ""[)"", ""lower"": ""2017-04-08"", ""upper"": null}"
3137,7,6.7,102nd (2DS020) @ EB I-84 MP6.7,2.11,,312,-122.55889,45.54448,"{""bounds"": ""[)"", ""lower"": ""2015-02-23"", ""upper"": null}"
3032,1,300.8,Madison (2DS042) @ NB I-5 MP300.8,0.645,,44,-122.66793,45.51348,"{""bounds"": ""[)"", ""lower"": ""2015-10-21"", ""upper"": null}"
3195,4,5.39,Blankenship (2DS002) @ SB I-205 MP5.39,1.615,,267,-122.66582,45.35738,"{""bounds"": ""[)"", ""lower"": ""2019-03-19"", ""upper"": null}"
10419,501,81.67,MELLEN ST,0.475,,005es08167:_MN,-122.975486,46.71207,"{""bounds"": ""[)"", ""lower"": ""2017-05-18"", ""upper"": null}"
10404,501,82.27,CDNB Harrison,0.535,,005es08227:_MN,-122.976448,46.720335,"{""bounds"": ""[)"", ""lower"": ""2017-05-18"", ""upper"": null}"
10415,501,83.85,BLAKESLEE JCN,1.415,,005es08385:_MN,-122.978524,46.742748,"{""bounds"": ""[)"", ""lower"": ""2017-05-18"", ""upper"": null}"
10431,501,82.74,Harrison Ave,0.79,,005es08274:_MN,-122.976919,46.727597,"{""bounds"": ""[)"", ""lower"": ""2017-05-18"", ""upper"": null}"
10397,51,0.91,Col. Shores BLVD,0.485,,014es00091:_MW,-122.625692,45.61851,"{""bounds"": ""[)"", ""lower"": ""2017-08-31"", ""upper"": null}"
